text,label
interested in medicine,Doctor
aspiring to be a General Practitioner (GP),General Practitioner (GP)
enthusiastic about surgery,Surgeon
fascinated by the cardiovascular system,Cardiologist
interested in internal medicine,Internal Medicine Specialist
aspiring to be an orthopedic specialist,Orthopedic Surgeon
enthusiastic about pediatrics,Pediatrician
interested in neurology,Neurologist
aspiring to be an ophthalmologist,Ophthalmologist
enthusiastic about psychiatry,Psychiatrist
interested in dermatology,Dermatologist
aspiring to be a gynecologist,Gynecologist
enthusiastic about radiology,Radiologist
interested in anesthesiology,Anesthesiologist
aspiring to be a dentist,Dentist
enthusiastic about veterinary medicine,Veterinarian
interested in nursing,Nurse
passionate about engineering,Engineer
interested in computer science,Computer Engineer
enthusiastic about electrical systems,Electrical Engineer
fascinated by chemical processes,Chemical Engineer
interested in civil infrastructure,Civil Engineer
passionate about aerospace technology,Aerospace Engineer
love working with machines,Mechanical Engineer
interested in electronics and communication,Electronics and Communication Engineer
enthusiastic about information technology,Information Technology Engineer
fascinated by robotics,Robotics Engineer
interested in environmental engineering,Environmental Engineer
passionate about materials science,Materials Engineer
enthusiastic about industrial engineering,Industrial Engineer
fascinated by automotive engineering,Automotive Engineer
interested in mechatronics,Mechatronics Engineer
passionate about software development,Software Engineer
enthusiastic about network engineering,Network Engineer
fascinated by data science and analytics,Data Science Engineer
interested in artificial intelligence (AI),AI Engineer
passionate about cybersecurity,Cybersecurity Engineer
enthusiastic about biomedical engineering,Biomedical Engineer
fascinated by nanotechnology,Nanotechnology Engineer
interested in telecommunication,Telecommunication Engineer
passionate about renewable energy,Renewable Energy Engineer
enthusiastic about systems engineering,Systems Engineer
fascinated by aerospace propulsion,Aerospace Propulsion Engineer
interested in structural engineering,Structural Engineer
passionate about water resources engineering,Water Resources Engineer
enthusiastic about geotechnical engineering,Geotechnical Engineer
fascinated by petroleum engineering,Petroleum Engineer
interested in nuclear engineering,Nuclear Engineer
passionate about marine engineering,Marine Engineer
enthusiastic about agricultural engineering,Agricultural Engineer
fascinated by architectural engineering,Architectural Engineer
interested in computer network engineering,Computer Network Engineer
passionate about software testing,Software Testing Engineer
enthusiastic about UX/UI design,UX/UI Designer
fascinated by artificial neural networks,Neural Network Engineer
interested in control systems engineering,Control Systems Engineer
passionate about satellite communication,Satellite Communication Engineer
enthusiastic about mobile app development,Mobile App Developer
fascinated by machine learning,Machine Learning Engineer
interested in computer vision,Computer Vision Engineer
fascinated by data and analytics,Data Scientist
love experimenting with food,Food Technologist
passionate about designing structures,Architect
enjoy creating animations,Animator
interested in agricultural science,Agriculture Scientist
love working with animals,Veterinarian
interested in accounting and finance,Accountant
enjoy working with statistics,Statistician
interested in investment banking,Investment Banking Analyst
love financial analysis and planning,Financial Analyst & Advisor
passionate about cost management,Cost Management Accountant
aspiring to become a Chartered Accountant,Chartered Accountant
interested in actuarial science,Actuary
enjoy organizing events and managing projects,Event Manager
passionate about human resources management,Human Resources
aspiring to become an entrepreneur,Entrepreneur
interested in tax auditing,Tax Auditor
enthusiastic about international finance,International Financial Analyst
fascinated by risk analysis,Risk Management Specialist
interested in business consulting,Business Consultant
enthusiastic about stock market analysis,Stock Market Analyst
love learning foreign languages,Foreign Language Interpreter
enjoy writing and creating content,Content Writer /Blogger
passionate about interior design,Interior Designer
interested in search engine optimization (SEO),SEO Analyst
aspiring to become a creative director,Creative Director
interested in journalism,Journalist
passionate about social work,Social Worker
enjoy managing social media platforms,Social Media Manager
enthusiastic about public relations,Public Relations Specialist
fascinated by advertising and marketing,Marketing Specialist
aspiring to become an editor,Editor
interested in event planning,Event Planner
enthusiastic about photography,Photographer
passionate about film and video production,Film/Video Producer
interested in graphic design,Graphic Designer
fascinated by fashion design,Fashion Designer
enthusiastic about culinary arts,Culinary Artist
